Category,Brand,Item,Qty,Guitar,Status,Notes
Cable,Analysis Plus,Black Oval,2,,Owned,Instrument cable
Strap,Moody,Leather Suede Strap,1,Acoustic,Owned,
Capo,Kyser,Quick-Change (Black),1,,Owned,
Amp Modeler,IK Multimedia,Tonex One Double Special Edition,1,,Owned,AI amp/pedal modeling
IEM,Ultimate Ears,UE Live,1,,Owned,カスタム IEM
Audio Interface,Universal Audio,Volt 176,1,,Owned,1-in/2-out コンプレッサー内蔵
Humidity,Boveda,,2,Acoustic / Electric,Owned,ケース内で湿度管理
Reverb,Strymon,BigSky MX,1,,Owned,ワーシップ&ブルース
Patch Cable,Free the Tone,SLIM Solderless,1,,Owned,ペダル間接続
Delay,Strymon,Timeline,1,,Owned,
Power Supply,Walrus Audio,Canvas Power Supplies 8,1,,Owned,アイソレーテッド電源8出力
Maintenance,,指板オイル・クロス等,1,,Wishlist,楽器の寿命を延ばす。~2000円
Compressor,Origin Effects,Cali76 Compact Deluxe,1,,Wishlist,FET コンプ / LA-2A インスパイア
Overdrive,Vemuram,Jan Ray,1,,Wishlist,TS系 プレミアム OD
